Period,Retail_trade,E_shopping,Retail_E_commerce
2016-01-01,37415147.00,679612.00,877354.00
2016-02-01,36815980.00,616598.00,789553.00
2016-03-01,42763737.00,681191.00,865677.00
2016-04-01,46155952.00,686764.00,916710.00
2016-05-01,48783412.00,681192.00,916244.00
2016-06-01,48892480.00,664582.00,896826.00
2016-07-01,47842336.00,656449.00,874358.00
2016-08-01,47790528.00,664165.00,916180.00
2016-09-01,47059911.00,706048.00,1016196.00
2016-10-01,46455078.00,753835.00,1067243.00
2016-11-01,48043147.00,965932.00,1427865.00
2016-12-01,51693611.00,1095973.00,1757313.00
2017-01-01,39636308.00,756615.00,1110045.00
2017-02-01,38074136.00,689349.00,953177.00
2017-03-01,46588809.00,823797.00,1141635.00
2017-04-01,48423073.00,836585.00,1218384.00
2017-05-01,54057557.00,849202.00,1238803.00
2017-06-01,52905969.00,841006.00,1227351.00
2017-07-01,50974136.00,847808.00,1215864.00
2017-08-01,52091210.00,843248.00,1234763.00
2017-09-01,50105018.00,841324.00,1235559.00
2017-10-01,50626368.00,917974.00,1323360.00
2017-11-01,51723467.00,1185193.00,1874005.00
2017-12-01,53621980.00,1221033.00,1920654.00
2018-01-01,41445101.00,904311.00,1286624.00
2018-02-01,39476157.00,799413.00,1100479.00
2018-03-01,48435697.00,930822.00,1302542.00
2018-04-01,48565856.00,925389.00,1352015.00
2018-05-01,57227355.00,1019805.00,1455098.00
2018-06-01,55120461.00,1031493.00,1457483.00
2018-07-01,52835683.00,946317.00,1325481.00
2018-08-01,54160270.00,1000200.00,1442841.00
2018-09-01,51234938.00,965353.00,1405671.00
2018-10-01,52409997.00,1127280.00,1605771.00
2018-11-01,52480485.00,1457242.00,2269678.00
2018-12-01,53299810.00,1386134.00,2010242.00
2019-01-01,42005090.00,1062638.00,1455948.00
2019-02-01,40038590.00,958048.00,1298208.00
2019-03-01,49007033.00,1119590.00,1546432.00
2019-04-01,50761198.00,1213968.00,1623011.00
2019-05-01,57706834.00,1409904.00,1808031.00
2019-06-01,54274479.00,1470428.00,1893301.00
2019-07-01,54613897.00,1319725.00,1737061.00
2019-08-01,54567305.00,1337823.00,1770938.00
2019-09-01,51073691.00,1457708.00,1832302.00
2019-10-01,52425670.00,1423003.00,1831140.00
2019-11-01,53177952.00,1774960.00,2429828.00
2019-12-01,54328294.00,1990888.00,2762426.00
2020-01-01,42785098.00,1279348.00,1706385.00
2020-02-01,42944418.00,1234485.00,1628358.00
2020-03-01,43373008.00,1663307.00,2302938.00
2020-04-01,34393337.00,2078964.00,3722077.00
2020-05-01,47553019.00,2312045.00,4081464.00
2020-06-01,56631376.00,2143598.00,3408636.00
2020-07-01,57076113.00,1947740.00,2941443.00
2020-08-01,54430379.00,2095141.00,3070381.00
2020-09-01,55474001.00,2226550.00,3148288.00
2020-10-01,56933911.00,2077693.00,3211252.00
2020-11-01,56094952.00,2700321.00,4268750.00
2020-12-01,55843591.00,2989301.00,4824614.00
2021-01-01,43284050.00,2191179.00,3699425.00
2021-02-01,44278066.00,2081430.00,3228130.00
2021-03-01,56019514.00,2563464.00,3866332.00
2021-04-01,55025031.00,2340922.00,3991920.00
2021-05-01,58177075.00,2258594.00,4251134.00
2021-06-01,60442696.00,2415733.00,3874319.00
2021-07-01,60103496.00,1842253.00,2834922.00
2021-08-01,58829377.00,1996704.00,2977037.00
2021-09-01,57634235.00,2237769.00,3244009.00
2021-10-01,58946550.00,2286815.00,3336382.00
2021-11-01,59991741.00,2819238.00,4313607.00
